FILE                                               IMPROVEMENT
peepholebenchmarks/bench01/BacktrackSolver.j       14
peepholebenchmarks/bench01/Benchmark.j             10
peepholebenchmarks/bench01/SudokuSolver.j          18
peepholebenchmarks/bench02/Interpretor.j           2
peepholebenchmarks/bench02/Main.j                  8
peepholebenchmarks/bench02/StringEscapeUtils.j     12
peepholebenchmarks/bench04/Board.j                 10
peepholebenchmarks/bench04/BombMove.j              0
peepholebenchmarks/bench04/ClassicMove.j           0
peepholebenchmarks/bench04/DiagBombMove.j          0
peepholebenchmarks/bench04/FlipBoardMove.j         4
peepholebenchmarks/bench04/Game.j                  34
peepholebenchmarks/bench04/KillColumnMove.j        0
peepholebenchmarks/bench04/KillRowAndColumnMove.j  0
peepholebenchmarks/bench04/KillRowMove.j           0
peepholebenchmarks/bench04/Move.j                  0
peepholebenchmarks/bench04/Strategy.j              0
peepholebenchmarks/bench05/CustomPoint.j           0
peepholebenchmarks/bench05/Dungeon.j               20
peepholebenchmarks/bench05/DungeonGenerator.j      6
peepholebenchmarks/bench05/DungeonInfos.j          6
peepholebenchmarks/bench06/AmazingCalculator.j     0
peepholebenchmarks/bench06/ComplementsGenerator.j  0
peepholebenchmarks/bench06/FemaleBoss.j            0
peepholebenchmarks/bench06/GirlFriend.j            0
peepholebenchmarks/bench06/Main.j                  42
peepholebenchmarks/bench06/Woman.j                 0
peepholebenchmarks/bench07/BFRoomAction.j          0
peepholebenchmarks/bench07/CoinRoomAction.j        0
peepholebenchmarks/bench07/EmptyRoomAction.j       0
peepholebenchmarks/bench07/ExitRoomAction.j        0
peepholebenchmarks/bench07/FactorialRoomAction.j   2
peepholebenchmarks/bench07/FeastRoomAction.j       2
peepholebenchmarks/bench07/GrueHunt.j              34
peepholebenchmarks/bench07/GrueRoomAction.j        0
peepholebenchmarks/bench07/HuntRoomAction.j        0
peepholebenchmarks/bench07/InGenerate.j            4
peepholebenchmarks/bench07/JokeRoomAction.j        2
peepholebenchmarks/bench07/Room.j                  2
peepholebenchmarks/bench07/RoomAction.j            0
peepholebenchmarks/bench07/TreasureRoomAction.j    0
OVERALL:                                           232
